model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
gemini_2-5_pro,blocksworld_3,_one_shot,2,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",[],{},{},0.0,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",[],True,0.0,0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True
gemini_2-5_pro,blocksworld_3,_one_shot,3,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","['(unstack b c)', '(put-down b)', '(unstack c a)', '(stack c b)', '(pick-up b)', '(stack b a)']","{0: 'position', 1: 'position', 2: 'position', 4: 'position', 5: 'position', 3: 'correct'}","{0: 'position', 1: 'position', 2: 'position', 4: 'position', 5: 'position', 3: 'correct'}",3.6666666666666665,"['(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","['(unstack b c)', '(put-down b)', '(unstack c a)']",False,3.583333333333333,3.583333333333333,3,4,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(stack c b)', '(pick-up b)', '(stack b a)']",3.583333333333333,3,4,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(pick-up b)', '(stack b a)']",1.0,5,3,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(pick-up b)', '(stack b a)']",1.0,5,3,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",True
gemini_2-5_pro,blocksworld_3,_one_shot,4,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']","['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up b)', '(stack b a)']","{0: 'position', 1: 'position', 2: 'position', 5: 'correct', 3: 'redundant', 4: 'redundant'}","{0: 'position', 1: 'position', 2: 'position', 5: 'correct', 3: 'same_act', 4: 'diff_act'}",2.333333333333333,[],"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up b)', '(stack b a)']",True,2.75,2.833333333333333,2,6,True,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up b)', '(stack b a)']",2.833333333333333,2,6,True,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",1.0,0,4,True,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",1.0,0,4,True,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up b)', '(stack b a)']",True
gemini_2-5_pro,blocksworld_3,_one_shot,5,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b c)', '(pick-up a)', '(stack a b)']","{0: 'position', 1: 'position', 2: 'position', 3: 'correct', 4: 'same_act', 5: 'same_act'}","{0: 'position', 1: 'position', 2: 'position', 3: 'correct', 4: 'same_act', 5: 'same_act'}",2.6666666666666665,"['(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a b)', '(put-down a)', '(unstack b c)']",True,3.6,3.6,5,6,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b c)', '(pick-up a)', '(stack a b)']",3.6,5,6,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b c)']",1.0,5,4,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b c)']",1.0,5,4,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",True
gemini_2-5_pro,blocksworld_3,_one_shot,6,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b c)', '(pick-up c)', '(stack c a)']","{0: 'position', 1: 'position', 2: 'position', 4: 'position', 5: 'position', 7: 'correct', 3: 'redundant', 6: 'redundant'}","{0: 'position', 1: 'position', 2: 'position', 4: 'position', 5: 'position', 7: 'correct', 3: 'same_act', 6: 'same_act'}",2.75,"['(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a c)', '(put-down a)', '(unstack c b)']",False,2.979166666666667,2.979166666666667,5,6,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b c)', '(pick-up c)', '(stack c a)']",2.979166666666667,5,6,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(pick-up b)', '(stack b c)']",1.0,3,3,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(pick-up b)', '(stack b c)']",1.0,3,3,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",True
gemini_2-5_pro,blocksworld_3,_one_shot,7,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']","['(pick-up a)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']","{1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 0: 'diff_act'}","{1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 0: 'diff_act'}",3.4166666666666665,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",[],False,4.525,4.525,2,0,False,"['(pick-up a)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",4.525,2,0,False,"['(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",1.0,6,0,False,"['(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",1.0,6,0,False,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",True
gemini_2-5_pro,blocksworld_3,_one_shot,8,"['(pick-up a)', '(stack a c)']","['(pick-up a)', '(stack a c)']","{0: 'position', 1: 'position'}","{0: 'position', 1: 'position'}",4.0,[],"['(pick-up a)', '(stack a c)']",True,4.0,4.0,0,2,True,"['(pick-up a)', '(stack a c)']",4.0,0,2,True,"['(pick-up a)', '(stack a c)']",1.0,0,2,True,"['(pick-up a)', '(stack a c)']",1.0,0,2,True,"['(pick-up a)', '(stack a c)']",True
gemini_2-5_pro,blocksworld_3,_one_shot,9,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']","['(pick-up b)', '(put-down b)', '(pick-up c)', '(stack c a)']","{2: 'position', 3: 'position', 1: 'same_act', 0: 'redundant'}","{2: 'position', 3: 'position', 1: 'same_act', 0: 'same_act'}",2.25,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",[],False,3.466666666666667,3.375,5,2,False,"['(pick-up a)', '(put-down a)', '(pick-up c)', '(stack c b)']",3.5583333333333336,2,0,False,"['(pick-up c)', '(stack c a)']",1.0,4,0,False,"['(put-down a)', '(pick-up c)']",1.0,4,0,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",True
gemini_2-5_pro,blocksworld_3,_one_shot,10,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']","['(unstack b c)', '(put-down b)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b c)']","{0: 'position', 1: 'position', 2: 'correct', 3: 'correct', 4: 'same_act', 5: 'same_act'}","{0: 'position', 1: 'position', 2: 'correct', 3: 'correct', 4: 'same_act', 5: 'same_act'}",2.333333333333333,"['(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']","['(unstack b c)', '(put-down b)']",False,3.504166666666667,3.3666666666666667,4,5,False,"['(unstack a b)', '(put-down a)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a b)']",3.641666666666667,3,0,False,"['(unstack b c)', '(put-down b)', '(pick-up a)', '(stack a c)']",1.0,4,4,False,"['(pick-up c)', '(stack c b)', '(pick-up a)']",1.0,6,0,False,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",True
gemini_2-5_pro,blocksworld_3,_one_shot,11,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",[],{},{},0.0,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",[],True,0.0,0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",True
